light_model,heavy_model,router_ratio,disc_ratio,threshold,latency,fid
1,2,0.4,0.6,0.76,10.66,20.71
1,2,0.4,0.7,0.82,11.44,20.65
1,2,0.4,0.8,0.88,12.22,20.61
1,2,0.4,0.9,0.94,13.0,20.63
1,2,0.4,1.0,1.0,13.78,20.61
1,2,0.5,0.0,0.5,7.15,21.61
1,2,0.5,0.1,0.55,7.8,21.2
1,2,0.5,0.2,0.6,8.45,20.98
1,2,0.5,0.3,0.65,9.1,20.88
1,2,0.5,0.4,0.7,9.75,20.72
1,2,0.5,0.5,0.75,10.4,20.68
1,2,0.5,0.6,0.8,11.05,20.62
1,2,0.5,0.7,0.85,11.7,20.59
1,2,0.5,0.8,0.9,12.35,20.57
1,2,0.5,0.9,0.95,13.0,20.58
1,2,0.5,1.0,1.0,13.65,20.61
1,2,0.6,0.0,0.6,8.32,21.22
1,2,0.6,0.1,0.64,8.84,20.93
1,2,0.6,0.2,0.68,9.36,20.79
1,2,0.6,0.3,0.72,9.88,20.73
1,2,0.6,0.4,0.76,10.4,20.62
1,2,0.6,0.5,0.8,10.92,20.59
1,2,0.6,0.6,0.84,11.44,20.54
1,2,0.6,0.7,0.88,11.96,20.54
1,2,0.6,0.8,0.92,12.48,20.55
1,2,0.6,0.9,0.96,13.0,20.57
1,2,0.6,1.0,1.0,13.52,20.61
1,2,0.7,0.0,0.7,9.49,20.95
1,2,0.7,0.1,0.73,9.88,20.75
1,2,0.7,0.2,0.76,10.27,20.65
1,2,0.7,0.3,0.79,10.66,20.62
1,2,0.7,0.4,0.82,11.05,20.56
1,2,0.7,0.5,0.85,11.44,20.54
1,2,0.7,0.6,0.88,11.83,20.53
1,2,0.7,0.7,0.91,12.22,20.55
1,2,0.7,0.8,0.94,12.61,20.58
1,2,0.7,0.9,0.97,13.0,20.59
1,2,0.7,1.0,1.0,13.39,20.61
1,2,0.8,0.0,0.8,10.66,20.7
1,2,0.8,0.1,0.82,10.92,20.59
1,2,0.8,0.2,0.84,11.18,20.55
1,2,0.8,0.3,0.86,11.44,20.54
1,2,0.8,0.4,0.88,11.7,20.52
1,2,0.8,0.5,0.9,11.96,20.52
1,2,0.8,0.6,0.92,12.22,20.5
